step,loss
1,5.549744966257005
250,2.334972109784543
500,1.9115036616083505
750,1.9382603148541049
1000,1.4917288329490908
1250,1.5041357218111393
1500,1.1232860706971728
1750,1.5165962698824178
2000,1.3663007720638445
2250,1.5107724532087026
2500,1.6748080966593064
2750,1.6788377692836292
3000,1.3755836169613782
3250,1.9263436761859984
3500,1.8343501741253614
3750,1.1897508203250948
4000,1.6903652561278897
4250,1.7940409934240003
4500,1.2514582446822442
4750,1.3310639275812766
5000,1.316739412074807
